Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Status Cobrança
L242;C12;348038;165862;30/04/2024;Não atende
M822;Z401;348060;165888;30/04/2024;Não atende
KK22;I115;345677;164037;30/04/2024;Financiamento - Em Tratativa
KK22;H108;345733;164076;30/04/2024;Financiamento bancario
KK22;G111;346493;164629;30/04/2024;Não atende
KK22;H115;346587;164704;30/04/2024;Bloqueio de cobrança Ausa
KK22;H116;346587;164707;30/04/2024;Bloqueio de cobrança Ausa
LA36;D427;348348;178115;30/04/2024;Pago / Em dia
KK22;E124;348486;166169;30/04/2024;Não atende
M522;26A17;88632;166135;30/04/2024;Pago / Em dia
M632;Q1413;348685;166312;30/04/2024;Recado
LA36;F418;348943;178226;30/04/2024;Financiamento - Em Tratativa
KG92;I209;348944;166479;30/04/2024;Financiamento - Em Tratativa
KF86;Y303;348958;166491;30/04/2024;Financiamento - Aberto chamado assessoria
M522;27A27;348970;166504;30/04/2024;Retorno
LF96;DA510;67861;183660;30/04/2024;Em dia
LF96;DA509;67861;183632;30/04/2024;Em dia
M522;26A22;349254;166642;30/04/2024;Pago / Em dia
L242;A11;349327;166748;30/04/2024;Não atende/Enviado whatsapp
KD26;V224;349567;166884;30/04/2024;Financiamento - Em Tratativa
LA36;N407;362331;177788;30/04/2024;Promessa de pagamento
LA36;N406;362331;177755;30/04/2024;Promessa de pagamento
LF96;R523;362331;183584;30/04/2024;Promessa de pagamento
KT33;C518;361992;174754;30/04/2024;Pago / Em dia
KT33;X508;362002;174762;30/04/2024;Promessa de pagamento
KT33;L514;362079;174775;30/04/2024;Não atende
KT33;I514;362184;174816;30/04/2024;Pago / Em dia
KT33;N503;362268;174773;30/04/2024;Promessa de pagamento
KT33;I511;362372;174752;30/04/2024;Pago / Em dia
KT16;M437;362701;174842;30/04/2024;Retorno
KT16;V402;363412;174896;30/04/2024;Promessa de pagamento
KT16;M438;363417;174906;30/04/2024;Retorno
KP66;QC1502;352034;177191;30/04/2024;Financiamento - Em Tratativa
KN06;W503;362426;178796;30/04/2024;Não atende
KT32;T509;362653;174980;30/04/2024;Em dia
KK22;AA122;363345;175027;30/04/2024;Pago / Em dia
KP66;QC1013;363907;175136;30/04/2024;Não atende
M782;O143;364290;175169;30/04/2024;Promessa de pagamento
KF22;J226;376379;175205;30/04/2024;Pago / Em dia
KF22;D221;376418;175204;30/04/2024;Em dia
KF22;D211;376451;182174;30/04/2024;Promessa de pagamento
KF22;L217;377537;175233;30/04/2024;Financiamento - Possui Interesse
KF22;D241;377577;175232;30/04/2024;Pago / Em dia
KF22;J246;377593;175212;30/04/2024;Em dia
KF22;F242;377593;175218;30/04/2024;Em dia
KF22;F201;377595;175216;30/04/2024;Não atende
KF22;L238;377618;175226;30/04/2024;Em dia
KF22;D202;377627;175229;30/04/2024;Promessa de pagamento
KF22;L210;377660;175360;30/04/2024;Não atende
KF22;D220;377740;175366;30/04/2024;Pago / Em dia
KN06;U520;383304;175305;30/04/2024;Financiamento - Em Tratativa
KF22;F219;383601;183698;30/04/2024;Em dia
KT33;P515;361974;175447;30/04/2024;Pago / Em dia
KF22;J209;383924;175511;30/04/2024;Financiamento bancario
KF22;J237;383924;175510;30/04/2024;Financiamento bancario
KF22;J238;383924;175520;30/04/2024;Financiamento bancario
KF22;L226;384198;179391;30/04/2024;Financiamento - Em Tratativa
KF22;L225;384198;175505;30/04/2024;Pago / Em dia
KE42;C109;385331;175526;30/04/2024;Não atende
M916;GA109;386149;175534;30/04/2024;Preventivo de Acordo/Promessa
M916;LA105;386307;175553;30/04/2024;Financiamento - Em Tratativa
KJ22;I126;386483;175904;30/04/2024;Promessa de pagamento
KJ22;D114;386483;175724;30/04/2024;Pago / Em dia
KJ22;F111;386483;175676;30/04/2024;Pago / Em dia
KJ22;F112;386483;176134;30/04/2024;Pago / Em dia
KJ22;I117;386520;175631;30/04/2024;Não atende
KJ22;F105;386520;175675;30/04/2024;Não atende
KJ22;U115;386541;175658;30/04/2024;Financiamento - Sem interesse
LA92;Q114;386547;181034;30/04/2024;Financiamento - Em Tratativa
KJ22;J122;386549;175661;30/04/2024;Em dia
KJ22;U108;386565;175667;30/04/2024;Em dia
KJ22;E125;386566;175668;30/04/2024;Financiamento - Em Tratativa
KJ22;X114;386602;175682;30/04/2024;Em dia
LA92;A120;387054;180845;30/04/2024;Não atende
LA92;T133;387057;183820;30/04/2024;Pago / Em dia
LA92;A123;387057;181285;30/04/2024;Pago / Em dia
LA92;S111;387130;180992;30/04/2024;Preventivo de Acordo/Promessa
KJ22;J120;387133;175610;30/04/2024;Promessa de pagamento
KJ22;N118;386655;175895;30/04/2024;Financiamento - Em Tratativa
KJ22;N117;386655;176117;30/04/2024;Financiamento - Em Tratativa
LA92;I103;386657;180847;30/04/2024;Financiamento - Sem interesse
KJ22;P113;386665;176012;30/04/2024;Recado
LA92;Q121;386708;180935;30/04/2024;Financiamento - Em Tratativa
LA92;A111;386714;181036;30/04/2024;Em dia
LA92;D108;386717;180873;30/04/2024;Financiamento - Sem interesse
LA92;D109;386717;180869;30/04/2024;Financiamento - Sem interesse
KJ22;J108;386720;175801;30/04/2024;Financiamento - Em Tratativa
KJ22;J103;386720;175803;30/04/2024;Financiamento - Em Tratativa
KJ22;F118;386730;176025;30/04/2024;Promessa de pagamento
KJ22;P103;386733;175733;30/04/2024;Pago / Em dia
LA92;D114;386760;180819;30/04/2024;Tentativas de contato
KJ22;V101;386762;175746;30/04/2024;Financiamento - Em Tratativa
LA92;C117;386774;182499;30/04/2024;Tentativas de contato
KJ22;M116;386781;175754;30/04/2024;Pago / Em dia
KJ22;Q119;386804;175764;30/04/2024;Pago / Em dia
KJ22;P110;386984;175868;30/04/2024;Aguardando Pagamento
KJ22;J101;386987;175902;30/04/2024;Financiamento - Em Tratativa
KJ22;D111;386990;175867;30/04/2024;Pago / Em dia
KJ22;Y116;387002;175863;30/04/2024;Financiamento - Em Tratativa
LA92;J125;387109;181709;30/04/2024;Pago / Em dia
LA92;A127;387116;180934;30/04/2024;Financiamento - Em Tratativa
KF22;M234;387212;175972;30/04/2024;Retorno
M916;IA128;387219;176008;30/04/2024;Recado
LD16;D522;387245;180727;30/04/2024;Pago / Em dia
KJ22;P101;387249;175965;30/04/2024;Em dia
KJ22;Q106;387253;175964;30/04/2024;Não atende
