Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Score
KD82;D01;407642;179579;01/04/2024;Sim
KD82;D02;388030;176679;01/04/2024;Sim
KD82;D03;388030;176678;01/04/2024;Sim
KD82;D04;406541;179017;01/04/2024;Não - <60 dias
KD82;D05;388104;176667;01/04/2024;Sim
KD82;D06;388104;176665;01/04/2024;Sim
KD82;D07;389249;176685;01/04/2024;Não - <60 dias
KD82;D08;387914;176343;01/04/2024;Não - <60 dias
KD82;D09;387987;178679;01/04/2024;Sim
KD82;D10;407553;179527;01/04/2024;Não - <60 dias
KD82;D11;407553;179526;01/04/2024;Não - <60 dias
KD82;D12;348691;179929;01/04/2024;Não - <60 dias
KD82;D13;388289;176703;01/04/2024;Não - <60 dias
KD82;D14;387978;176577;01/04/2024;Sim
KD82;D15;407642;179578;01/04/2024;Sim
KD82;E01;387862;176467;01/04/2024;Sim
KD82;E02;387862;176466;01/04/2024;Sim
KD82;E03;427025;179792;01/04/2024;Não - <60 dias
KD82;E04;349891;180162;01/04/2024;Não - <60 dias
KD82;E05;388333;176563;01/04/2024;Sim
KD82;E07;409110;180200;01/04/2024;Não - <60 dias
KD82;E08;171588;180594;01/04/2024;Não - <60 dias
KD82;E09;408162;180129;01/04/2024;Não - <60 dias
KD82;E10;406248;178770;01/04/2024;Não - <60 dias
KD82;E11;406799;179107;01/04/2024;Sim
KD82;E16;388215;176559;01/04/2024;Não - <60 dias
KD82;E17;387954;176347;01/04/2024;Sim
KD82;E18;409108;180164;01/04/2024;Não - <60 dias
KD82;E19;391222;177084;01/04/2024;Não - <60 dias
KD82;E20;387862;179023;01/04/2024;Sim
KD82;F04;408149;179864;01/04/2024;Não - <60 dias
KD82;F06;408341;180018;01/04/2024;Não - <60 dias
KD82;F07;388278;176722;01/04/2024;Não - <60 dias
KD82;F08;388181;176408;01/04/2024;Não - <60 dias
KD82;F09;388181;176417;01/04/2024;Sim
KD82;F10;388733;176696;01/04/2024;Sim
KD82;F11;388008;176377;01/04/2024;Não - <60 dias
KD82;F14;249513;176419;01/04/2024;Sim
KD82;F15;429422;176433;01/04/2024;Não - <60 dias
KD82;F16;407927;179796;01/04/2024;Não - <60 dias
KD82;F17;294004;178705;01/04/2024;Sim
KD82;F18;388061;176675;01/04/2024;Não - <60 dias
KD82;G03;389405;176658;01/04/2024;Não - <60 dias
KD82;G05;403530;177650;01/04/2024;Sim
KD82;G06;387905;176349;01/04/2024;Sim
KD82;G09;388956;176560;01/04/2024;Não - <60 dias
KD82;G10;403085;177462;01/04/2024;Não - <60 dias
KD82;G11;266771;176949;01/04/2024;Não - <60 dias
KD82;G12;388361;176724;01/04/2024;Não - <60 dias
KD82;G17;407763;179665;01/04/2024;Não - <60 dias
KD82;G18;407763;179664;01/04/2024;Não - <60 dias
KD82;G19;276296;178738;01/04/2024;Sim
KD82;G20;407481;179467;01/04/2024;Não - <60 dias
KD82;H01;391750;177070;01/04/2024;Não - <60 dias
KD82;H02;391750;177071;01/04/2024;Não - <60 dias
KD82;H03;388314;176761;01/04/2024;Não - <60 dias
KD82;H05;171888;176340;01/04/2024;Não - <60 dias
KD82;H08;407776;180501;01/04/2024;Não - <60 dias
KD82;H09;408110;179790;01/04/2024;Não - <60 dias
KD82;H10;388247;176434;01/04/2024;Sim
KD82;H11;387817;176789;01/04/2024;Não - <60 dias
KD82;H12;387951;176344;01/04/2024;Não - <60 dias
KD82;H13;388337;176766;01/04/2024;Não - <60 dias
KD82;H14;388257;176806;01/04/2024;Sim
KD82;H19;388019;176736;01/04/2024;Não - <60 dias
KD82;I01;431681;184227;01/04/2024;Não - <60 dias
KD82;I02;431703;184220;01/04/2024;Sim
KD82;I03;403121;181219;01/04/2024;Sim
KD82;I04;387895;179609;01/04/2024;Não - <60 dias
KD82;I06;255264;180246;01/04/2024;Não - <60 dias
KD82;I07;423624;181218;01/04/2024;Não - <60 dias
KD82;I08;391210;177017;01/04/2024;Não - <60 dias
KD82;I11;409316;180455;01/04/2024;Não - <60 dias
KD82;I12;403145;177457;01/04/2024;Sim
KD82;I13;291496;177062;01/04/2024;Não - <60 dias
KD82;I17;407852;179697;01/04/2024;Não - <60 dias
KD82;I18;407852;179698;01/04/2024;Não - <60 dias
KD82;I19;387929;176561;01/04/2024;Não - <60 dias
KD82;J01;403121;182457;01/04/2024;Sim
KD82;J02;403121;182459;01/04/2024;Sim
KD82;J03;423624;182469;01/04/2024;Não - <60 dias
KD82;J04;423624;182468;01/04/2024;Não - <60 dias
KD82;J05;423624;182467;01/04/2024;Não - <60 dias
KD82;J06;388744;176641;01/04/2024;Sim
KD82;J07;387825;176900;01/04/2024;Sim
KD82;K01;404375;178206;01/04/2024;Não - <60 dias
KD82;K02;427513;183002;01/04/2024;Não - <60 dias
KD82;K03;423719;181295;01/04/2024;Não - <60 dias
KD82;K04;388224;176762;01/04/2024;Não - <60 dias
KD82;K05;390047;176816;01/04/2024;Não - <60 dias
KD82;K06;424133;181610;01/04/2024;Não - <60 dias
KD82;K07;246464;176464;01/04/2024;Sim
KD82;K08;424021;181584;01/04/2024;Não - <60 dias
KD82;K09;423446;181359;01/04/2024;Não - <60 dias
KD82;K10;423693;181356;01/04/2024;Não - <60 dias
