Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;79963;MULTA CONTRATUAL POR ATRASO;31/08/2022;ATIVO;CÍVEL;;0;1;1;15
1;79964;MULTA CONTRATUAL POR ATRASO;30/09/2015;ATIVO;CÍVEL;;0;1;1;15
1;79982;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;80000;RESCISÃO CONTRATUAL COM ATRASO;31/12/2013;ATIVO;CÍVEL;;0;1;2;15
1;80000;MULTA CONTRATUAL POR ATRASO;30/09/2018;ATIVO;CÍVEL;;0;1;2;15
1;80007;MULTA CONTRATUAL;31/08/2021;ATIVO;CÍVEL;;0;1;2;15
1;80007;MULTA CONTRATUAL POR ATRASO;31/01/2013;ATIVO;CÍVEL;;0;1;2;15
1;80013;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;80020;RESCISÃO CONTRATUAL COM ATRASO;31/03/2020;ATIVO;CÍVEL;;0;1;2;15
1;80020;MULTA CONTRATUAL POR ATRASO;30/11/2019;ATIVO;CÍVEL;;0;1;2;15
1;80040;MULTA CONTRATUAL POR ATRASO;30/09/2015;ATIVO;CÍVEL;;0;1;1;15
1;80041;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80043;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80053;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80058;MULTA CONTRATUAL POR ATRASO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;80064;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80081;RESCISÃO CONTRATUAL COM ATRASO;31/10/2012;ATIVO;CÍVEL;;0;1;1;15
1;80128;RESCISÃO - DISTRATO UNILATERAL;31/03/2021;ATIVO;CÍVEL;;0;1;1;15
1;80151;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80181;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80187;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80188;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80221;MULTA CONTRATUAL POR ATRASO;30/04/2018;ATIVO;CÍVEL;;0;1;1;15
1;80235;MULTA CONTRATUAL;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80236;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80243;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80244;RESCISÃO CONTRATUAL COM ATRASO;31/10/2013;ATIVO;CÍVEL;;0;1;1;15
1;80271;MULTA CONTRATUAL POR ATRASO;31/10/2013;ATIVO;CÍVEL;;0;1;1;15
1;80273;MULTA CONTRATUAL POR ATRASO;31/01/2019;ATIVO;CÍVEL;;0;1;1;15
1;80274;RESCISÃO CONTRATUAL COM ATRASO;31/05/2021;ATIVO;CÍVEL;;0;1;2;15
1;80274;MULTA CONTRATUAL;31/03/2020;ATIVO;CÍVEL;;0;1;2;15
1;80291;MULTA CONTRATUAL POR ATRASO;30/04/2013;ATIVO;CÍVEL;;0;1;1;15
1;80294;MULTA CONTRATUAL POR ATRASO;30/06/2016;ATIVO;CÍVEL;;0;1;1;15
1;80298;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80303;RESCISÃO CONTRATUAL COM ATRASO;31/10/2014;ATIVO;CÍVEL;;0;1;2;15
1;80303;RESCISÃO CONTRATUAL COM ATRASO;31/10/2014;ATIVO;CÍVEL;;0;1;2;15
1;80328;MULTA CONTRATUAL POR ATRASO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;80339;MULTA CONTRATUAL POR ATRASO;31/10/2019;ATIVO;CÍVEL;;0;1;1;15
1;80352;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80353;RESCISÃO CONTRATUAL COM ATRASO;30/11/2013;ATIVO;CÍVEL;;0;1;1;15
1;80357;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80363;MULTA CONTRATUAL POR ATRASO;28/02/2017;ATIVO;CÍVEL;;0;1;1;15
1;80370;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80373;MULTA CONTRATUAL POR ATRASO;31/12/2015;ATIVO;CÍVEL;;0;1;1;15
1;80380;MULTA CONTRATUAL;31/03/2020;ATIVO;CÍVEL;;0;1;1;15
1;80381;RESCISÃO CONTRATUAL COM ATRASO;30/06/2021;ATIVO;CÍVEL;;0;1;1;15
1;80387;MULTA CONTRATUAL POR ATRASO;31/05/2018;ATIVO;CÍVEL;;0;1;1;15
1;80391;MULTA CONTRATUAL POR ATRASO;31/07/2018;ATIVO;CÍVEL;;0;1;1;15
1;80399;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80400;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80414;MULTA CONTRATUAL POR ATRASO;28/02/2019;ATIVO;CÍVEL;;0;1;1;15
1;80429;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80432;RESCISÃO CONTRATUAL COM ATRASO;30/06/2014;ATIVO;CÍVEL;;0;1;1;15
1;80446;MULTA CONTRATUAL POR ATRASO;30/04/2015;ATIVO;CÍVEL;;0;1;1;15
1;80504;MULTA CONTRATUAL POR ATRASO;31/10/2013;ATIVO;CÍVEL;;0;1;1;15
1;80507;MULTA CONTRATUAL POR ATRASO;31/08/2017;ATIVO;CÍVEL;;0;1;1;15
1;80512;MULTA CONTRATUAL POR ATRASO;31/10/2019;ATIVO;CÍVEL;;0;1;1;15
