Divisao;Unidade;Código Cliente;Projeto Financeiro
L302;V01;238441;78634
L32X;B530;425994;182475
L32X;B620;360957;179814
L32X;B626;176790;33348
L32X;B636;428274;180343
L32X;B637;428274;180344
L32X;B908;409039;179967
L32X;B909;409201;180387
L32X;B1018;426295;182395
L32X;B1037;176580;33174
L32X;B1132;408020;179754
L32X;B1504;10127;33285
L32X;B1506;408033;179764
L32X;B1510;239948;34219
L32X;C109;424186;181757
L32X;C117;424186;181656
L84X;A109;407509;179530
L84X;A124;358981;172632
L84X;A202;424277;181693
L84X;A207;363673;179871
L84X;A308;412040;180629
L84X;A324;423687;181408
L84X;A411;424123;181659
L84X;A617;424338;181739
L84X;A722;423686;181409
L84X;A1023;423667;181349
L84X;A1125;423796;181404
L84X;A1213;349788;180066
L84X;A1218;327536;180187
L84X;A1312;428274;180064
L84X;A1313;428274;180077
L36X;C08;426074;182258
L992;B09;358101;172216
L992;D05;426294;182583
L992;F07;426983;182744
L992;F14;426137;182637
L992;G03;426311;182422
L992;I17;426113;182451
L992;J03;426252;182421
L992;J15;426719;182627
L992;K05;426617;182588
L992;K12;426993;182746
L992;K16;426523;182538
L992;L11;426537;182561
L992;L17;426355;182445
L992;M15;259005;172163
L992;M23;426593;182644
L992;N13;426372;182416
L992;N14;426383;182448
L992;O16;426985;182759
L992;O18;426556;182562
L992;O25;426051;182384
L992;P28;426557;182547
L992;Q01;426722;182639
L992;R19;426885;182735
L992;S04;426423;182425
L992;U10;242160;182446
L992;V11;426432;182557
L992;W05;426382;182453
L992;AA01;426617;182582
L992;AB03;426611;182603
L992;AB08;426614;182589
L992;AB12;426338;182452
L992;AB16;426643;182607
L992;AC10;426353;182449
L992;AC14;426621;182633
L992;AC26;426309;182471
L992;AC29;426615;182640
L992;AC30;426615;182645
L42X;220149;184126;169109
L42X;220171;184126;169117
L42X;270162;359933;173232
L42X;290503;359308;181998
L42X;360099;354672;170152
L42X;480422;390657;179584
L42X;530482;345552;163995
L42X;560226;356639;165032
L58X;B13;284606;55039
L58X;B16;207111;55658
L58X;D10;207420;55951
L58X;E09;207457;55975
L58X;E14;211303;58789
L58X;F03;207043;55583
L58X;G15;206135;70273
L58X;K04;207127;55669
L58X;K07;248829;86607
L58X;L10;208355;56491
L58X;L16;209289;57308
L58X;M05;345397;55142
L58X;M13;206438;55086
L58X;M18;206617;55219
L58X;N07;214344;60652
L58X;P03;207420;55952
